content,label
<username> Di sini saya berbicara dalam konteks sebagai warga negara non… <link>,0
Beneran pengen tahu tanggapan mereka. <username> Gerakan <hashtag> dan acara tadi pagi ditaman bungkul <link>,0
Anda anggota dprd [CAPS] lama <username> tapi mungkin mental maling [CAPS]. <link>,0
<username> Sekali sekali dea pengen punya circle sosialita lin,0
Kamu tahu tidak..? Pasti tidak.. Goblok kamu memang..,0
Anies Janji Izinkan Reuni 212 Tahun Depan Digelar di Monas <hashtag> <link>,0
Terimakasih atas pengkhianatan ini Terimakasih atas antipati perjuangan kami Terimakasih atas tidak didengarnya aspirasi kami Saatnyaa. [REPPUNC] <hashtag>,1
setelah Kerajaan Kerathon Sejagad kini ada lagi sunda [CAPS] empire [CAPS].Ketololan yang hqq [CAPS]. ! [REPPUNC],1
Hore [ELONG]. [REPPUNC] ! [REPPUNC] Mantab [ELONG] ! [REPPUNC] Kelakuan bejat Andre Dengan menjebak nn [CAPS] Bakal diseret ke meja hijau. Dukung nn [CAPS] dengan: <hashtag>,1
Partai Allah mah Bebas Sajadahpun boleh diinjak <hashtag>,1
Sst [ELONG] liatin saja sambil makan gorengan <hashtag>,0
Berhentilah jadi <hashtag> dngan mengeluhi rezeki apa dan berapa yang km dapatkan hari ini berkaca saja pda pemulung yang belum tentu dapat makan,0
menang kami bangga kalah kami setia :fire: :fire:,0
<username> Dasar licik kau Bud ! Omong doang yang besar. bangsa ini tidak perlu kau ada di sini,0
<username> Fadli Zonk itu semacam biji kutilnya Pak Wo,0
<username> Mangkane nak ngomong ojo asal mangap nil konfirmasi dulu bener tidak A1 info ini soal gaji pak Prabowo.. jubir anyar maklum lah,0
Buat para pembenci Selamat anda dipimpin oleh orang yang anda benci kembali. Dan selamat menikmati ketidksukaannya ditunggu status-status nyalahin pemerintahnya. <hashtag> pic.twitter.com/n3GaTERfKC,1
Kapolri Idham Aziz berjanji untuk memberikan pengabdian yang terbaik bagi institusi Polri masyarakat negara dan bangsa. Semangat jendral. Pastikan tidak ada lagi radikalisme di bumi pertiwi ini. <username> <hashtag> <link>,0
Dokter bisa beli mobil tukang parkir hanya bisa jaga mobil,1
wkwk [CAPS] sarkasme sama litotesnya dapet banget mas [ELONG] [EMOTICON] <link>,0
Seberapa yakin kalian kalau nanti pak <username> akan memilih <username> sebagai salah satu badan pengawas <username> ! [REPPUNC] <hashtag>,0
Sekarang ada yang menerima hasil dari tuduhannya sendiri terlalu picik memang.,0
<username> salam generasi optimis ! jauhjauh deh segala pesimisme dari bangsa ini,0
<username> Halah Tompilasi. [REPPUNC] eh maksudnya Tompi lagi Nge gas sembarangan bahaya tuh nanti kamu jatuh ke jurang,0
<username> Faktor tempat pengaruh Om. [REPPUNC] wols saja. [REPPUNC] tidak perlu keluar kata Goblok seperti itu. [REPPUNC],0
pas kegeledah kemaren malam. polisi nemuin sabu sabu kondom juga seorang wanita. idih kok si <hashtag>,0
<username> ya allah aku bacanya tolol mau dikomplain awalnya alamak [EMOTICON],0
<username> semanagt broo.. millenial harus tunjukan kinerja rakyat. [REPPUNC] salah kalau si ketua bilang *anak baru*.. tidak ada namanya senioritas tapi netralitas kita butuhkan. [REPPUNC] anda itu mewakili rakyat bukan pejabat. [REPPUNC] kita dukung,0
Awas setang putar so ja ba jadi Fakta tapi di blg Hoax. Hahaba <hashtag>,0
<username> Perpres no 75 tahun 2019 telah ditandatangani secara resmi iuran bpjs [CAPS] naik 1 Januari 2020 bukakah bpjs [CAPS] devisit akibat over kuota yang gratis karena sesuai uu hanya rakyat miskin sebayak 9 6% atau 25-30 orang yang berhak menerima bukan 96 6juta orang atau 35%.,0
Sekelas ceo [CAPS] data 2013 dibilang data 2016? Dan Padahal bl [CAPS] sudah dipromosikan sama presiden jokowi baru ini tapi balesannya tidak mencerminkan sikap ceo [CAPS]. [EMOTICON],1
Kerenn [ELONG] :flexed_biceps: Tuntaskan kasus Novel Baswedan Pak Kapolri :oncoming_fist: <hashtag> <link>,0
prestasi [CAPS] yang membanggakan [CAPS] Peluncuran Pesawat Luar Angkasa Indonesia. [REPPUNC] ! [REPPUNC].. Indonesiaku Makin santuy [CAPS].. <hashtag>,1
jaga kesehatan ya bapak kasian bapak sudah tua kok masih marah-marah saja. sudah bapak dirumah saja deh istirahat. <hashtag>,1
Jaman dulu waktu gua masih sekolah pas puasa gini seluruh negeri aman nyaman tentram makmur serta sentosa. Rasa ramadhannya kerasa banget. Lah sekarang? Perang Perang Perang Ujungnya sambat karena nyesel - Mending ngehasilin uang ini hasilnya luka -. <hashtag>,0
Manusia butuh kawan bisnis butuh network.. <hashtag>,0
<username> tidak prnah slingg mlmpar sarkasme sama kmuu. bsk kta cba yya.._ [ELONG].v,0
<username> Wow mulia sekali wanita itu memfoto ktp pacarnya agar ada backup data saat kurang uang di laundry jadi ninggal ktp [CAPS],1
Ternyata Bu <username> pernah ditekan sama <username> ya? Tapi tidak mempan giliran ganti menteri baru eh langsung di acc. <username> <link>,0
Aku tahu kamu butuh dia yang bisa memperlakukanmu dengan manis dan romantis bukan aku yang cemburuan dan overprotektif <hashtag>,0
<username> yang namanya sistem memang harus dilakukan perbaikan terus menerus bukan hanya soal hitung menghitung doang. [REPPUNC] Sistem operasi Adroid &amp; iOS saja dilakukan pembaharuan terus menerus apalagi e-BUDGETING anggaran. [REPPUNC] <link>,0
<username> Pimpinannya sontoloyo Pembantunya genderuwo. Klop !,0
<username> Ha ha ha. [REPPUNC] justru rapbd ini tinggalan koh ahok. Termasuk system koh ahok. Gimana sih?,0
<username> Jubir bapak hanya sekelas ini pak,0
Terima kasih bapak <username> telah mengendalikan banjir dengan baik sehingga Jakarta saat ini tidak ada lagi yang tidak banjir.. Semua sudah merata.. ! [REPPUNC] <hashtag>,1
Dibalik rasa saya memanggil sosok beliau yang ramah tamah dan merakyat. Beliau tidak banyak bicara namun tegas bertindak salut <hashtag>,0
<username> Sehat selalu yaa bu Susi Pudjiastuti. Jaga kesehatan bu Terimakasih telah berjuang demi negeri ini :smiling_face_with_open_hands: <hashtag>,0
Pengusaha tidak tahu balas budi lupa akar otak kampret ! Masih banyak aplikasi belanja online lain ! Beralih ke Tokopedia atau Shoppee dan lain lain yang masih waras !,0
<username> pemerintah memang pintar pintar berkilah pintar alesan pntar bohong pintar alibi dan lain lain,1
Satu kata unt indonesia membanggakan [CAPS]. Level demokrasi sudah tinggi yang <hashtag> mhn mf anda akan tertinggal ke dpn negara ini akan maju dn disegani.,1
<username> Diskusi urusan akun istri tni yang nyinyirin sinetron darah 3 liter ya pak. :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing:,0
<username> Yang mulia <username> notice tidak yaa. Wkwk,1
Wahai kalian yang suka teriak-teriak kriminalisasi Ulama penista Ulama. Mana suara kalian jelas si <username> meremehkan Ulama Sepuh Nusantara. Bukankah kalian sangat takzhim pada Mbah Maimoen ….,0
"Selamat untuk pak <username> yang sudah melewati rekor banjir dibulan Januari sebanyak tiga kali dengan membuat banjir dibulan Februari sudah sebanyak empat kali. Pertahankan dibulan depan pak kalau bisa sih melewati juga. Doa gubernur Soleh memang hebat, salut saya.Wajah dengan air mata bahagia <hashtag>",1
Kebijakan bang sandiaga bagus seperti kebijakan pak <username> di jkt ada program jkt mengaji itu jelas real,0
Yang dicari polisi dikloset pasti otaknya. <hashtag>,1
Bandel tuh diluar jangan dikandang!<hashtag>,0
<username> rapbd [CAPS] diajukan setahun sblm pelaksanaan..dilakukan beberapa kali Pembahasa mulai dari tingkat Pemda sampai dprd [CAPS]..setelah disyahkan oleh dprd [CAPS] jadi apbd [CAPS] dan baru boleh dibelanjakan,0
Optimis yakin bisa itu harus. Kita harus selalu berdoa dan usaha pasti diberikan jalan yang terbaik amin. [REPPUNC],0
tidak salah sih menyuarakan pilihan politik nya. Tapi harus siap juga akan konsekuensi nya. jangan cm berani ucap tapi lalu koreksi seolah netizen bodoh.,1
sudah sok sedih playing victim lagi. Bilangnya tidak tahu apa-apa ternyata suka bohong :relieved_face: Punya satu temen toxic bacotnya gede pula Katanya temen tapi klepto :relieved_face: kamu goblok atau gimana? Punya satu temen juga nih sudah dikenalin kemana-mana malah gatau diri juga :relieved_face:,0
<username> Salam balik dari Jakarta. Yang sedang terik-teriknya. Yang setiap hari macet ujan dikit banjir [EMOTICON],0
akhirnya terungkap ya mas fatah jangan nangis anak laki harus berkuasa wkwk <hashtag>,1
<username> Goblok bat bikin malu. Norak ya [EMOTICON] Yang bikin gua takut kalau e [EMOTICON] ke indo ya begini. [REPPUNC] liat erina goubluk,0
Duh jadi inget pas w ke elizabeth ada kumpulan emak sosialita yang ngeborong [ELONG] terus foto didepan pintu ngalangin jalan wkwk mau pamer abis belanja banyak,0
Istana Presiden Kebanjiran Luar biasa.. [ELONG] Janji kampanye <username> sudah terealisasi. Sediakan kolam untuk warga Jakarta.! <hashtag>,1
taik [CAPS] anjing [CAPS] ! [REPPUNC] aku ldran medan-jakarta ngasi makan dia 7 bulan karena tidak dapet kerja disana. malah ngedapetin dia selingkuh. kontol [CAPS] <link>,0
Pengusaha yang sukses itu wajib [CAPS] harus \tahan banting\! Justru saat gagal ia harus banyak belajar dari kegagalannya itu.,0
Kenapa tidak dikasih pinjem buat bpjs [CAPS] kesehatan Sontoloyo Uang bpjs [CAPS] Rp 100 T Mau Dipakai Program Rumah Jokowi Setuju? <link>,0
<username> Hh [ELONG].. Sontoloyo..,0
Harapan Besar Senator Fachrul Razi Terhadap Kapolri yang Baru <link> <hashtag>,0
Makan ikan sehat makan ikan kuat makan ikan cerdas.. Tidak makan ikan ditenggelamkan ! [REPPUNC] kata Susi. <hashtag>,0
Terima kasih pak ! Bravo tni [CAPS] ! <username> <hashtag>,0
.Kapolri Baru broo. Radikalis harus hengkang dari Indonesia.. Radikalis adalah Oknum Oknum yang mengatas namakan Islam. [REPPUNC] Jadi Hati-hati pilih Pengajian.. <username> <hashtag> <link>,0
<username> Nia ramadhani y mb ! [REPPUNC],0
Ya sampai detik ini saya masih berada di sisi nia ramadhani. Harum soalnya.. <link> <link>,0
Film Keluarga Cendana ini ternyata bercerita tentang keluarga kaya yang jatuh miskin. Baru tahu..,1
Cara ucap unicorn tu yang gagap bikin orang ragu. [REPPUNC] <hashtag>,0
La Nyalla Mattalitti mantan pendukung Prabohoax tidak heran bahwa <hashtag> karena beliau begitu mengenal bagaimana watak Prabohoax yang temperamental.,0
Kuakui kamu memang terlalu hebat. tidak semua orang punya perasaan setangguh kamu. Kamu; yang terus menerus mampu memaafkan kesalahannya.,0
norak kamu tolol,0
Daripada main mobil mending tuh ibu sosialita gaul istri orang kaya main brondong saja. Mereka puas pemuda dapat kesejahteraan. <link>,0
Bagaimana bisa Mendikbud yang diangkat dari kalangan ceo [CAPS] pebisnis online? <hashtag> <link>,0
kamu kalah tapi kamu ngotot menyuruh jokowi mundur tidak masuk akal <hashtag>,0
Biarkan dia bekerja Kita tunggu hasilnya saja. <hashtag>,0
Ini Indonesia tercinta ku. [REPPUNC] Kalau khilafah dan kadrun monggo buat negara sendiri sana. [REPPUNC] Berjasa tidak buat negara ngerecokin iya.. kadal ! [REPPUNC] <hashtag>,1
Oiya lupa mau bilang Bapaknya almarhum bj [CAPS]. Habibie alumni kampus pertanian dan dia balik ke sulsel dengan jadi pejabat pertanian dan sukses bertani pakai dasi. <link>,0
kalau kalian pada mengerti ya Presiden <username> juga masuk dalam 500 Muslim paling berpengaruh di dunia versi Royal Is <link>,0
