content,label
hanya mau kasih tahu saja..begini kondisi Discotique Colosseum yang dpt penghargaan [CAPS] dari gubernur beriman dan dapat pembelaan dari ulama gnpf [CAPS] 212. Semoga Allah limpahi imbalan setimpal dg perbuatan mrk org2 yang munafik yang tega menjual ayat untuk keperluannya & mengadu umat demi [CAPS] jabatan.,1
Transparan adalah kunci untuk memajukan negara ini tidak ada gelap sembunyi-sembunyi ataupun remang-remang. <hashtag>,0
Habis ada keraton agung sejagad muncul sunda empire. Negara lain dah sibuk buat nuklir buat robot motor terbang negara kita malah begini,1
negarawan sejati itu akan selalu menjadi pemersatu bangsa [EMOTICON] <hashtag>,0
<username> Tompi cucoknya jadi pasien..pasien rsj [CAPS].,0
Ketololan <username> berawal dari sini.. karna seringnya dicekoki ahok tai kering yg disangka pisang goreng maka buyarlah otaknya jadi idiot. <link>,0
Sulit mencari kesalahan anies. Dia penuh dengan diamond playbutton,1
<username> Pintar banget sih fnc [ELONG] Pintar bikin dompet ini kempes [EMOTICON],1
Dongarians lagi apa nih? Saya suka [ELONG] [CAPS] lupa kalau jumat saya bertugas. [REPPUNC] t_t [CAPS] modem [ELONG] leletnya mintak di bacok. [REPPUNC],1
Dah ahh jangan banyak sambat disini Takut nanti diangkat jd mentrinya kabinet pak <username> Hapus jejak digitalnya kebanyakan. [REPPUNC] <hashtag>,0
Orang lagi flu ngedadak sembuh denger bakal UninstallJokowi [EMOTICON],0
menang [CAPS] karena Kecurangan <hashtag> ! [REPPUNC],1
Garuda indonedia terus maju terbang ke angkasa tinggalkan mereka pelaku <link> dan dugaan kasus lainya. [REPPUNC] <hashtag> <link>,0
Pilihan beda tidak masalah Tapi saat menghina seseorang yang telah mengangkat derajat hidup itu masalah,1
<username> Udah Ngetop ! [REPPUNC] Udah gak [CAPS] laku [CAPS] maksudnya ! [REPPUNC] :grinning_face_with_sweat:,0
<username> Ketemu sama <username> ga ya? [EMOTICON] <link>,0
Dokter gajinya lebih kecil dari tukang parkir,0
<username> lebih [CAPS] mulia menjual diri. Sangat hina nya <hashtag> yang menyebar kebencian ! [REPPUNC],1
Ada ada aja Disetiap harinya <hashtag>,0
<username> yg gak etis itu angaran [ELONG] blnja Barjasnya di luar batas kewajaran hrga satuan. [REPPUNC] :face_with_hand_over_mouth: <hashtag>,0
Saya <hashtag> untuk legowo dalam pilpres dan segera <hashtag> ! [REPPUNC],1
motaw tolol bgt hehew,0
Bukan Indonesianya legislatifnya aja yang tolol <link>,0
<username> Ya Allah berikan selalu kesehatan untuk Presiden Indonesia bapak Jokowi dan lindungilah b… <link>,0
katanya [CAPS] lahir di solo [CAPS]..egk taunya di Boyolali.. Itu hoax juga,1
Banyak pihak ln [CAPS] sebenarnya yg menginginkan ps [CAPS] menang pilpres lalu. Kesempatan jadi Menhan sebenarnya salah satu cara pihak asing utk ingin tahu kondisi nyata di tanah air baik Poleksosbud Hankamrata <username> <link>,0
<username> Woi dongo baca neh pake otak bukan pake pantat : <link>,0
Ahok mmg betul jitu banget menyebut kalau <username> kelewat pinter [ELONG]. [REPPUNC] Pinter 4 ng - ngibul - ngelez [ELONG] - ngambinghitamkan orang - ngarang alasan Bangsa ini berharap besar <hashtag> <link>,1
Saya bukan siapa2 Saya kuliah di Muhammadiyah tapi mahasiswa/i nya (maaf) masih ada yang belum sholat. Beberapa teman2 saya ada yg nu [CAPS] sekali lagi (maaf) dari mereka ada yang suka menjustifikasi kalau selain nu [CAPS] berarti salah <hashtag> Jadi sikap saya seharusnya bagaimana?,0
Alhamdulillah Bekasi dan Jakarta hujan guys. Ga panas lagi Ya Allah makasih :pleading_face: :loudly_crying_face:,0
"<username> ""Pasar Senen dimana?"" - Nia Ramadhani",0
Ya Anies sedang [ELONG] berusaha untuk [CAPS] memecahkan rekor dunia lempar tanggung jawab yang masih dipegang juara bertahan. mohon [CAPS] dukungannya [EMOTICON] ! [REPPUNC],1
keren [CAPS] sekali tampilan [ELONG] monas sat [ELONG] ini. [REPPUNC] <hashtag>. [REPPUNC],1
