id;parent_comment;target_comment;tebakan_label;parent_membantu;catatan
s01;[deleted by user];Google maps route bagus untuk start tp jgn ketergantungan banget, nanya rekan kerja pasti jg tau nantinya;0;n;
s02;(tidak tersedia);Kalau vape gapapa dok?;0;n;
s03;Tapi kan memang saat PPKM naik pesawat ga boleh kalau ga pegang STRP. Dan STRP memang filternya buat yang non essensial. Udah jelas kok. Ini lockdown kok masih pada maunya sendiri sih. Btw bagi yg terpaksa. Bikin STRP cepet kok, online lagi. Kemarin pagi daftar online, sore dah dikirim;Well lockdownnya untuk orang lain aja, bukan saya;0;n;
s04;Memang baru beberapa kali ngisi Shell, gw senang dengan cara mereka memperlakukan konsumen... Beda sama spbu bapuk milik pemerintah kemaren dengan terpaksa ke SPBU plat merah lagi, yg self service. Gw tuh dateng ke jalur pertamax turbo. Niatan gw pengen nyampur dengan pertamax kan (karena motor gw butuhnya ron 95) Eh pas gw bilang gw pengen campur mas mas operator SPBU nya jutek banget, bgsd gw disuruh ngantri di barisan motor yg udh panjang banget... Padahal kan gw juga beli pertamax turbonya (jalur motor ga ada pertamax turbo) Please Pertamina, kalo pompa lu banyak dan sepi, jalur motor ditiadakan, biarin;Mau ngisi plat merah ribet, gaada oktan 95 lagi. Dicoba pake turbo malah jelek tarikannya wkwk;0;n;
s05;(tidak tersedia);Jadinya ya... meh. Bakal bacot di tempat anonim aja ah. hehehehe;0;n;
s06;Laptop hilang , lapor polisi dan service center , berapa besar kemungkinan si laptop bakal di temukan ??;anggep aja ketelen blackhole, gak akan ketemu lg;1;y;
s07;"""Tidak perlu sok-sokan melockdown provinsi, melockdown kota, melockdown kabupaten,"" katanya";malah bersikeras nyuruh dengerin anjuran pemerintah ama pendakwah yang jelas jelas kagak kompeten soal safety &amp;0;n;
s08;Lu logicnya kejauhan, klo lu anggap yg sering main game bisa jadi atlit e-sport di masa depan, ya brati yg apal muka SBY bisa jadi ahli tata negara/politik dong? betul gak? Pendidikan tu dibangun dari basis ke basis. Ada dasar yg ditanamkan yg merupakan pondasi / introduction ilmu selanjutnya. Tau muka SBY mungkin hal simple dan terkesan random tp itu dasar untuk pendidikan selanjutnya. Gak mungkin kita tanya dampak pemerintahan, sosial politik ke anak SD, tp apa yg bisa jadi jembatan awal ke situ yg cocok bagi anak SD? salah satunya tau tokoh-tokoh politik atau nama figur. Pengetahuan nama pulau;&gt;0;n;
s09;Emang membandingkan gaji adalah sumber kesedihan sih lol, mau di gaji berapapun pasti sedih, wejangan dari senior gue soal ini sih berusaha semaksimal mungkin sampe ke poin “nyaman”, kalo udah sampe disitu ya gausah sedih denger gaji org lebih tinggi wkwk, karena kalo ngejar gaji tinggi kaga ada akhirnya, penting sampe cukup, nyaman, dan bahagia;True bro, gw lg ada tawaran jga jadi enduser di bank mau nyaman atau kejar2an, belum nentuin sih.;0;n;
s10;(tidak tersedia);"""Mba boleh ngga aku balik *&lt";0;n;
s11;Bagi yang mau melanjutkan pendidikan tinggi, nantinya mau masuk kemana? Berhubung 1 bulan lagi UTBK, jadi penasaran View Poll;Gak ada opsi Perguruan Tinggi Kedinasan?;0;n;
s12;pagiii, sarapan apa? 🐄;Siomay Bandung, yang jualan asli orang Bandung 😇;0;n;
s13;Dude, diabetic alarm.;Tenang, udah gw ultimatum kalo dia gendut bakal gw usir dari rumah kog jadi rajin olahraga bareng 👍🏻;0;n;
s14;(tidak tersedia);Soalnya ga bawa agama atas nama mukjizat;1;n;
s15;(tidak tersedia);Gw baca terjemahan al quran pusing banget. Berasa kayak ada banyak orang keroyokan nerjemahin, tapi sama editor kaga diselaraskan jadi 1 buku;0;n;
s16;PPN udah. Pemerintah sekarang butuh duit banget makanya melakukan segala cara buat dapat pemasukan. Tumbal nya ya rakyat bawah;Masi mending jd rakyat bawah! Bayangin jd kelas menengah yg blm mampu sewa konsultan pajak buat taro duit di tax haven;0;n;
s17;Elang Hitam, Drone Buatan Indonesia;Katanya hitam. Mana? Coklat sama ijo tuh.;0;n;
s18;Ini gurunya menutup mata apa emang gak tau? Aku merasa kayak guru itu sebenernya tau ada pembulian atau nggk, tapi kadang menutup mata;Apa itu bully? Itu cuman becanda antar anak anak;1;y;
s19;Semoga keluarganya gk tolol mau damai dgn dinikahkan... Mending pemerkosa kena hukuman maling diajar rame2;maybe not, karena yg memperkosa ada 4 orang, apkah ke-4 orang tsb mau dinikahi semua?;1;n;
s20;bunuh diri sambil tangan diiket kaki dicor semen mata diiket kain. si pak rahman ini bener2 suka pamer bunuh diri aja pake cara susah;Tolong bilang, kalau ini hanya joke;0;n;
